serial,description,meter,historical_matches
18-13680,1998 CATERPILLAR D8R PULL,N/A,9
18-13882,2008 CATERPILLAR D8T,11659.2,1
18-13893,2022 JOHN DEERE 9590RX,363.0,1
18-13896,2016 CATERPILLAR D8T,3352.9,4
18-13902,2016 CATERPILLAR D8T,4948.5,3
18-13904,2008 CATERPILLAR D8T,8137.0,5
18-13947,2018 CATERPILLAR D8T,5612.2,3
18-13977,2012 CATERPILLAR D8T,4500.6,4
18-14108,2007 CATERPILLAR D8T PULL,8542.5,12
18-14109,2008 CATERPILLAR D8T PULL,7141.0,7
18-14231,2005 CATERPILLAR D8T PULL,1243.9,11
18-14546,2006 CATERPILLAR D8T PULL,856.5,10
18-16042,CAT D8 W/ BLADE,22,2
18-3468,1994 CATERPILLAR D8N PULL,26209.8,18
18-3469,1994 CATERPILLAR D8N PULL,2407,17
